"﻿Ф, мВб","\sigma_Ф, мВб",\varepsilon_Ф,"B, мТ",\varepsilon_B,"\sigma_B, мТ","I, A","\sigma_I, A"
0.4,0.05,0.125,1.3,0.13,0.17,0.36,0.005
0.5,0.05,0.100,1.7,0.10,0.17,0.41,0.005
0.6,0.05,0.083,2.0,0.08,0.17,0.52,0.005
0.7,0.05,0.071,2.3,0.07,0.17,0.7,0.005
1,0.05,0.050,3.3,0.05,0.17,0.89,0.005
1.2,0.05,0.042,4.0,0.04,0.17,1.1,0.005
1.5,0.05,0.033,5.0,0.03,0.17,1.44,0.005
1.7,0.05,0.029,5.7,0.03,0.17,1.68,0.005
2.2,0.05,0.023,7.3,0.02,0.17,2.04,0.005
2.3,0.05,0.022,7.7,0.02,0.17,2.19,0.005