"Uзаж, вольт","Ip, мА","Up, В","Ip2, мА","I+1, мкА","U+1, В","I-1, мкА","U-1, В","I+2, мкА","U+2, В","I-2, мкА","U-2, В","I+3, мкА","U+3, В","I-3, мкА","U-3, В","D,мм","L, мм"
228,4.9954,19.244,5,106.94,24.93,18.58,1.1,65.45,24.969,15.75,1.0501,32.83,24.973,6.89,1.0709,0.2,5.2
,4.606,19.43,3,105.5,23,32.72,3.01,64.24,23.024,27.56,3.0344,32.15,23.085,13.55,3.0104,,
,4.2044,19.6,1.5,103.85,21.03,47.43,5.03,63.01,21.015,37.58,4.9393,31.4,21.038,19.47,5.009,,
,3.922,19.935,,101.47,19,61.15,7.35,61.7,19.051,47.05,7.036,30.61,19.028,24.31,7.051,,
,3.6283,20.075,,98.34,17.11,70.75,9.14,60.19,17.022,54.22,9.036,29.84,17.025,27.95,9.061,,
,3.3225,20.244,,93.82,15.1,80.13,11.05,58.26,15.041,59.6,10.996,28.97,15.083,30.6,11.024,,
,2.903,21.26,,87.53,12.96,89.05,13.11,55.45,13.026,63.7,13.001,27.66,13.013,32.53,13.28,,
,2.5311,22.4883,,80.82,11.13,95.97,15.05,51.45,11.008,66.67,15.029,25.88,11.053,33.88,15.053,,
,2.1727,23.54,,71.28,8.98,101.46,16.82,46.07,9.039,68.81,17.034,23.3,9.065,34.92,17.083,,
,1.8764,24.727,,61.08,7,106.54,19,30.44,7.044,70.48,19.057,19.71,7.055,35.75,19.063,,
,1.5093,26.56,,50.51,5.16,109.78,20.93,30.04,5.022,71.88,21.022,14.89,5.003,36.53,21.095,,
,1.2153,29.275,,36.51,2.99,112.29,23.01,19,3.0247,73.29,23.141,8.94,3.0065,37.44,23.037,,
,0.8285,33.985,,20.86,0.94,114.02,24.94,6.93,0.9458,74.53,24.973,2.35,1.0928,38.25,24.969,,
,0.4992,35.179,,,,,,,,,,,,,,,
,0.4998,35.14,,,,,,,,,,,,,,,
,0.8105,34.062,,,,,,,,,,,,,,,
,1.2105,29.483,,,,,,,,,,,,,,,
,1.538,26.455,,,,,,,,,,,,,,,
,1.8961,24.698,,,,,,,,,,,,,,,
,2.1671,23.639,,,,,,,,,,,,,,,
,2.5265,22.518,,,,,,,,,,,,,,,
,2.8822,21.379,,,,,,,,,,,,,,,
,3.3455,20.297,,,,,,,,,,,,,,,
,3.6365,20.136,,,,,,,,,,,,,,,
,3.9128,19.944,,,,,,,,,,,,,,,
,4.2825,19.558,,,,,,,,,,,,,,,
,4.6254,19.472,,,,,,,,,,,,,,,
,5.0245,19.22,,,,,,,,,,,,,,,